-nan -nan
222.903 2.09186e+06
221.892 2.08458e+06
220.885 2.11655e+06
219.885 2.09878e+06
218.89 2.09537e+06
217.901 2.11812e+06
216.918 2.11744e+06
215.94 2.06819e+06
214.967 2.10698e+06
214 2.09123e+06
213.038 2.11042e+06
212.082 2.08013e+06
211.131 2.08185e+06
210.186 2.06914e+06
209.246 2.09175e+06
208.311 2.08554e+06
207.381 2.09199e+06
206.456 2.10552e+06
205.537 2.11802e+06
204.623 2.10067e+06
203.713 2.09614e+06
202.809 2.10143e+06
201.91 2.11713e+06
201.016 2.11299e+06
200.126 2.09068e+06
199.242 2.10176e+06
198.363 2.09044e+06
197.488 2.10089e+06
196.618 2.07882e+06
195.753 2.11085e+06
194.893 2.1031e+06
194.037 2.08652e+06
193.186 2.08445e+06
192.34 2.077e+06
191.499 2.09285e+06
190.662 2.07109e+06
189.829 2.09462e+06
189.001 2.09935e+06
188.178 2.07657e+06
187.359 2.073e+06
186.544 2.09746e+06
185.734 2.09856e+06
184.929 2.09298e+06
184.127 2.11599e+06
183.331 2.09614e+06
182.538 2.11666e+06
181.75 2.11018e+06
180.965 2.09243e+06
180.186 2.08315e+06
179.41 2.07225e+06
178.638 2.10751e+06
177.871 2.10399e+06
177.108 2.08795e+06
176.348 2.07268e+06
175.593 2.09374e+06
174.842 2.11252e+06
174.095 2.10663e+06
173.352 2.11926e+06
172.613 2.11881e+06
171.878 2.08141e+06
171.147 2.0851e+06
170.419 2.10907e+06
169.696 2.10563e+06
168.976 2.09473e+06
168.26 2.10496e+06
167.548 2.08402e+06
166.84 2.10942e+06
166.135 2.11063e+06
165.434 2.10222e+06
164.737 2.08445e+06
164.043 2.08684e+06
163.354 2.08271e+06
162.667 2.07332e+06
161.985 2.08641e+06
161.306 2.09957e+06
160.63 2.09999e+06
159.958 2.08959e+06
159.29 2.07603e+06
158.625 2.08087e+06
157.963 2.06903e+06
157.305 2.1001e+06
156.65 2.10341e+06
155.999 2.07698e+06
155.351 2.08434e+06
154.707 2.06903e+06
154.065 2.08347e+06
153.428 2.06959e+06
152.793 2.09988e+06
152.162 2.08968e+06
151.534 2.11834e+06
150.909 2.09933e+06
150.287 2.0897e+06
149.669 2.11993e+06
149.054 2.10144e+06
148.442 2.08489e+06
147.833 2.09614e+06
147.227 2.07752e+06
146.624 2.11074e+06
146.025 2.07388e+06
145.428 2.1022e+06
144.835 2.10831e+06
144.244 2.0758e+06
143.657 2.06991e+06
143.072 2.08013e+06
142.491 2.10352e+06
141.912 2.07225e+06
141.336 2.11254e+06
140.764 2.09396e+06
140.194 2.09537e+06
139.627 2.09296e+06
139.063 2.10343e+06
138.502 2.07442e+06
137.943 2.07066e+06
137.388 2.10465e+06
136.835 2.09077e+06
136.285 2.07981e+06
135.737 2.08501e+06
135.193 2.06873e+06
134.651 2.08751e+06
134.112 2.1112e+06
133.576 2.08013e+06
133.042 2.07388e+06
132.511 2.06925e+06
131.982 2.10851e+06
131.457 2.10266e+06
130.934 2.07044e+06
130.413 2.099e+06
129.895 2.1062e+06
129.38 2.06743e+06
128.867 2.10143e+06
128.356 2.07795e+06
127.849 2.09077e+06
127.343 2.10774e+06
126.841 2.0654e+06
126.34 2.11565e+06
125.842 2.1131e+06
125.347 2.10953e+06
124.854 2.07644e+06
124.364 2.09724e+06
123.875 2.08317e+06
123.39 2.11588e+06
122.906 2.09671e+06
122.425 2.09506e+06
121.947 2.11769e+06
121.47 2.0934e+06
120.996 2.1113e+06
120.525 2.10352e+06
120.055 2.07442e+06
119.588 2.11677e+06
119.123 2.11096e+06
118.661 2.08413e+06
118.201 2.09033e+06
117.742 2.10652e+06
117.287 2.11554e+06
116.833 2.0823e+06
116.381 2.117e+06
115.932 2.09154e+06
115.485 2.11857e+06
115.04 2.09077e+06
114.597 2.09263e+06
114.156 2.08837e+06
113.718 2.08358e+06
113.281 2.07849e+06
112.847 2.09955e+06
112.415 2.09801e+06
111.984 2.08174e+06
111.556 2.11879e+06
111.13 2.08653e+06
110.706 2.08534e+06
110.284 2.11141e+06
